Ranking,Country name,Cost Of Living (USD)
1,Monaco,3743
2,Cayman Islands,2844
3,Switzerland,2497
4,Ireland,2316
5,Liechtenstein,2306
6,Iceland,2207
7,Singapore,2169
8,Luxembourg,2163
9,Norway,2074
10,United States,1951
11,Australia,1944
12,United Kingdom,1929
13,Qatar,1856
14,Denmark,1837
15,Vanuatu,1829
16,New Zealand,1782
17,Netherlands,1778
18,Israel,1774
19,Seychelles,1725
20,The Bahamas,1715
21,Canada,1701
22,Austria,1617
23,United Arab Emirates,1576
24,North Korea,1540
25,Finland,1536
26,France,1519
27,Malta,1519
28,Sweden,1515
29,Belgium,1495
30,Antigua and Barbuda,1465
31,Marshall Islands,1464
32,Germany,1414
33,Lebanon,1411
34,Japan,1370
35,Italy,1359
36,Kuwait,1326
37,Maldives,1288
38,Cyprus,1266
39,Spain,1260
40,Barbados,1258
41,Andorra,1232
43,Curasao,1222
42,Solomon Islands,1222
44,Equatorial Guinea,1185
45,Slovenia,1175
46,San Marino,1168
47,Bahrain,1165
48,South Korea,1154
49,Saint Lucia,1153
50,Brunei,1152
51,Saint Kitts and Nevis,1145
52,Senegal,1144
53,Turkmenistan,1141
54,Grenada,1128
55,Samoa,1109
56,Panama,1092
57,Oman,1086
58,Taiwan,1057
59,Estonia,1040
60,Palau,1040
61,Portugal,1038
62,Tonga,1035
63,Czech Republic,1014
64,Ivory Coast,1010
65,Greece,1008
66,Mozambique,1006
67,Croatia,1001
68,Slovakia,990
69,Trinidad and Tobago,979
70,South Africa,974
71,Saudi Arabia,952
72,Niger,950
73,Latvia,938
75,Zimbabwe,935
76,Uruguay,929
77,Namibia,921
78,Nigeria,916
79,Chile,905
80,Angola,896
81,Belize,889
82,Laos,888
83,Poland,882
84,Cuba,880
85,Sao Tome and Principe,880
86,Guinea,877
87,Lithuania,869
88,Myanmar,864
89,Guatemala,857
90,Dominica,856
91,Costa Rica,852
92,Jordan,850
93,Thailand,831
94,Jamaica,829
95,Hungary,817
96,El Salvador,816
97,Somalia,811
98,Guyana,803
99,Burkina Faso,799
100,Cape Verde,797
101,Mauritania,781
102,Fiji,773
103,Honduras,765
104,Tanzania,760
105,Ecuador,756
106,China,752
107,Bolivia,750
108,Democratic Republic of Congo,748
109,Sierra Leone,745
110,Benin,731
111,Montenegro,720
112,Suriname,714
113,Guinea-Bissau,712
114,Dominican Republic,711
116,Eswatini,711
115,Serbia,711
117,Iraq,710
118,Ghana,701
119,Lesotho,694
120,Cambodia,692
121,Cameroon,688
122,Mexico,678
123,Zambia,676
124,Togo,669
125,Iran,668
127,Botswana,666
126,Malawi,666
128,Venezuela,657
129,Russia,656
131,Bulgaria,654
130,Kenya,654
132,Malaysia,652
133,Romania,652
134,Mauritius,651
135,Morocco,644
136,Vietnam,639
138,Nicaragua,633
137,Rwanda,633
139,Peru,630
140,Albania,608
141,Tuvalu,608
142,Uganda,604
143,Mongolia,603
144,Brazil,601
145,Philippines,601
146,Bosnia and Herzegovina,599
147,Armenia,592
148,Comoros,589
149,Gabon,587
150,Nauru,584
152,Colombia,574
151,Ethiopia,574
153,Bhutan,569
155,Burundi,560
156,Libya,560
154,Mali,560
157,Yemen,559
158,Madagascar,555
159,North Macedonia,553
161,Djibouti,548
160,Indonesia,548
162,Paraguay,546
163,Liberia,544
164,Ukraine,542
165,Chad,540
166,Central African Republic,538
167,Eritrea,538
168,Georgia,538
169,Moldova,537
170,Haiti,531
171,Papua New Guinea,530
172,Uzbekistan,529
173,Bangladesh,521
175,South Sudan,519
176,Sudan,517
177,Azerbaijan,513
178,Kiribati,511
179,Belarus,504
180,Argentina,494
181,Kazakhstan,468
182,Tajikistan,450
183,Egypt,449
184,Turkey,447
185,Nepal,439
186,Syria,435
187,Algeria,431
188,Kyrgyzstan,430
189,Sri Lanka,428
190,Tunisia,424
191,India,423
192,Pakistan,370
193,Afghanistan,354
